total test length
23158
-------------------folder , length of x_test, y_test-------------------------
[98.23008849557522, 1.7699115044247786, 0.0]
[14.364336818932305, 82.27848101265822, 3.357182168409466]
[0.0, 10.996354799513973, 89.00364520048602]


[97.667638483965, 2.332361516034985, 0.0]
[10.94038106945298, 85.24892440073755, 3.8106945298094654]
[0.0, 18.449781659388645, 81.55021834061135]


[97.08454810495627, 2.9154518950437316, 0.0]
[11.520737327188941, 83.60763660302831, 4.871626069782752]
[0.0, 22.52577319587629, 77.47422680412372]


[94.29735234215886, 5.7026476578411405, 0.0]
[6.662870159453304, 93.05239179954442, 0.2847380410022779]
[0.0, 44.95176848874598, 55.048231511254016]


[90.86229086229086, 9.137709137709138, 0.0]
[1.5537190082644627, 98.44628099173553, 0.0]
[0, 0, 0]


[64.07142857142857, 35.92857142857143, 0.0]
[12.531223980016653, 87.46877601998335, 0.0]
[0, 0, 0]


[78.68357487922705, 21.316425120772948, 0.0]
[15.983224603914259, 84.01677539608573, 0.0]
[0, 0, 0]


[97.25325884543761, 2.7467411545623834, 0.0]
[18.25876662636034, 81.74123337363966, 0.0]
[0, 0, 0]


[99.53850591289299, 0.4614940871070089, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[18698, 1126, 0]
[3004, 17055, 513]
[89, 3190, 24761]
[94.32001614205004, 5.67998385794996, 0.0]
[14.602372156328991, 82.90394711258021, 2.493680731090803]
[0.3174037089871612, 11.37660485021398, 88.30599144079886]
total accuracy
0.8842422117014437
-------------------folder , length of x_test, y_test-------------------------
123 927 927
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,10
9,15
10,33
11,46
12,45
13,68
14,45
15,59
16,82
17,155
18,366
each floor by number


[0, 25, 0]
[0, 259, 52]
[0, 9, 582]


[0, 21, 2]
[0, 188, 52]
[0, 6, 658]


[98, 19, 5]
[23, 73, 55]
[0, 2, 652]


[114, 24, 0]
[20, 127, 29]
[0, 4, 609]


[131, 14, 0]
[31, 125, 74]
[0, 15, 537]


[150, 3, 0]
[55, 114, 77]
[11, 17, 500]


[153, 7, 0]
[69, 130, 71]
[2, 27, 468]


[172, 12, 0]
[50, 133, 53]
[0, 30, 477]


[157, 17, 0]
[58, 115, 37]
[0, 33, 510]


[156, 14, 0]
[57, 87, 48]
[0, 46, 519]


[156, 13, 0]
[81, 170, 17]
[0, 92, 398]


[174, 14, 0]
[87, 652, 0]
[0, 0, 0]


[208, 7, 0]
[78, 619, 0]
[0, 15, 0]


[225, 4, 0]
[84, 614, 0]
[0, 0, 0]


[274, 0, 0]
[139, 514, 0]
[0, 0, 0]


[693, 0, 0]
[234, 0, 0]
[0, 0, 0]


[927, 0, 0]
[0, 0, 0]
[0, 0, 0]


[927, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 83.27974276527331, 16.720257234726688]
[0.0, 1.5228426395939085, 98.47715736040608]


[0.0, 91.30434782608695, 8.695652173913043]
[0.0, 78.33333333333334, 21.666666666666668]
[0.0, 0.9036144578313253, 99.09638554216868]


[80.32786885245902, 15.573770491803279, 4.098360655737705]
[15.2317880794702, 48.34437086092715, 36.42384105960265]
[0.0, 0.3058103975535168, 99.69418960244649]


[82.60869565217392, 17.39130434782609, 0.0]
[11.363636363636363, 72.1590909090909, 16.477272727272727]
[0.0, 0.6525285481239804, 99.34747145187602]


[90.3448275862069, 9.655172413793103, 0.0]
[13.478260869565219, 54.34782608695652, 32.173913043478265]
[0.0, 2.717391304347826, 97.28260869565219]


[98.0392156862745, 1.9607843137254901, 0.0]
[22.357723577235774, 46.34146341463415, 31.30081300813008]
[2.083333333333333, 3.2196969696969697, 94.69696969696969]


[95.625, 4.375, 0.0]
[25.555555555555554, 48.148148148148145, 26.296296296296294]
[0.4024144869215292, 5.432595573440644, 94.16498993963783]


[93.47826086956522, 6.521739130434782, 0.0]
[21.186440677966104, 56.355932203389834, 22.45762711864407]
[0.0, 5.9171597633136095, 94.08284023668638]


[90.22988505747126, 9.770114942528735, 0.0]
[27.619047619047617, 54.76190476190476, 17.619047619047617]
[0.0, 6.077348066298343, 93.92265193370166]


[91.76470588235294, 8.23529411764706, 0.0]
[29.6875, 45.3125, 25.0]
[0.0, 8.141592920353983, 91.85840707964601]


[92.3076923076923, 7.6923076923076925, 0.0]
[30.223880597014922, 63.43283582089552, 6.343283582089552]
[0.0, 18.77551020408163, 81.22448979591836]


[92.55319148936171, 7.446808510638299, 0.0]
[11.772665764546685, 88.22733423545331, 0.0]
[0, 0, 0]


[96.74418604651163, 3.255813953488372, 0.0]
[11.190817790530847, 88.80918220946916, 0.0]
[0.0, 100.0, 0.0]


[98.2532751091703, 1.7467248908296944, 0.0]
[12.034383954154727, 87.96561604584527, 0.0]
[0, 0, 0]


[99.99999999999999, 0.0, 0.0]
[21.28637059724349, 78.71362940275651, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[4715, 194, 7]
[1066, 3920, 565]
[13, 296, 5910]
[95.9113100081367, 3.946297803091945, 0.14239218877135884]
[19.20374707259953, 70.61790668348046, 10.178346243920014]
[0.20903682264029586, 4.75960765396366, 95.03135552339604]
total accuracy
0.8716888409445044
-------------------folder , length of x_test, y_test-------------------------
124 1256 1256
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,4
7,3
8,13
9,16
10,25
11,22
12,37
13,57
14,91
15,186
16,250
17,240
18,312
each floor by number


[0, 29, 0]
[0, 255, 13]
[0, 98, 861]


[0, 29, 0]
[0, 178, 17]
[0, 68, 964]


[71, 28, 1]
[42, 100, 40]
[6, 36, 932]


[116, 36, 1]
[49, 154, 139]
[0, 18, 743]


[176, 30, 1]
[60, 192, 180]
[0, 36, 581]


[203, 20, 0]
[83, 234, 134]
[13, 45, 524]


[236, 26, 0]
[83, 273, 57]
[0, 75, 506]


[280, 41, 0]
[51, 273, 76]
[0, 68, 467]


[244, 30, 0]
[58, 305, 82]
[0, 53, 484]


[238, 28, 0]
[66, 283, 72]
[0, 59, 510]


[261, 29, 0]
[70, 450, 56]
[0, 73, 317]


[298, 16, 0]
[96, 846, 0]
[0, 0, 0]


[386, 4, 0]
[97, 769, 0]
[0, 0, 0]


[485, 11, 0]
[75, 685, 0]
[0, 0, 0]


[661, 18, 0]
[97, 480, 0]
[0, 0, 0]


[1197, 9, 0]
[50, 0, 0]
[0, 0, 0]


[1256, 0, 0]
[0, 0, 0]
[0, 0, 0]


[1256, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 95.14925373134328, 4.850746268656716]
[0.0, 10.218978102189782, 89.78102189781022]


[0.0, 100.0, 0.0]
[0.0, 91.28205128205128, 8.717948717948719]
[0.0, 6.589147286821706, 93.41085271317829]


[71.0, 28.0, 1.0]
[23.076923076923077, 54.94505494505494, 21.978021978021978]
[0.6160164271047228, 3.6960985626283365, 95.68788501026694]


[75.81699346405229, 23.52941176470588, 0.6535947712418301]
[14.32748538011696, 45.02923976608187, 40.643274853801174]
[0.0, 2.3653088042049935, 97.634691195795]


[85.02415458937199, 14.492753623188406, 0.48309178743961356]
[13.888888888888888, 44.44444444444444, 41.666666666666664]
[0.0, 5.834683954619125, 94.16531604538088]


[91.03139013452915, 8.968609865470851, 0.0]
[18.403547671840357, 51.884700665188475, 29.711751662971178]
[2.2336769759450172, 7.731958762886598, 90.03436426116838]


[90.07633587786259, 9.923664122137405, 0.0]
[20.09685230024213, 66.10169491525424, 13.801452784503633]
[0.0, 12.908777969018933, 87.09122203098107]


[87.22741433021807, 12.772585669781932, 0.0]
[12.75, 68.25, 19.0]
[0.0, 12.710280373831777, 87.28971962616824]


[89.05109489051094, 10.94890510948905, 0.0]
[13.03370786516854, 68.53932584269663, 18.426966292134832]
[0.0, 9.869646182495345, 90.13035381750466]


[89.47368421052632, 10.526315789473683, 0.0]
[15.676959619952495, 67.2209026128266, 17.102137767220903]
[0.0, 10.369068541300527, 89.63093145869946]


[90.0, 10.0, 0.0]
[12.152777777777779, 78.125, 9.722222222222223]
[0.0, 18.71794871794872, 81.28205128205128]


[94.90445859872611, 5.095541401273885, 0.0]
[10.19108280254777, 89.80891719745223, 0.0]
[0, 0, 0]


[98.97435897435898, 1.0256410256410258, 0.0]
[11.200923787528868, 88.79907621247114, 0.0]
[0, 0, 0]


[97.78225806451613, 2.217741935483871, 0.0]
[9.868421052631579, 90.13157894736842, 0.0]
[0, 0, 0]


[97.34904270986745, 2.6509572901325478, 0.0]
[16.811091854419413, 83.1889081455806, 0.0]
[0, 0, 0]


[99.25373134328358, 0.7462686567164178, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[7364, 384, 3]
[977, 5477, 866]
[19, 629, 6889]
[95.00709585859889, 4.954199458134434, 0.03870468326667527]
[13.346994535519126, 74.8224043715847, 11.830601092896174]
[0.25208969085843175, 8.345495555260714, 91.40241475388085]
total accuracy
0.8726999292285916
-------------------folder , length of x_test, y_test-------------------------
125 1009 1009
number by successful floor
0,0
1,0
2,0
3,1
4,0
5,9
6,10
7,21
8,20
9,23
10,35
11,41
12,67
13,99
14,76
15,104
16,157
17,139
18,207
each floor by number


[0, 25, 0]
[0, 384, 18]
[0, 64, 518]


[0, 25, 0]
[0, 243, 21]
[0, 117, 603]


[90, 39, 2]
[57, 89, 39]
[4, 96, 593]


[137, 12, 0]
[91, 145, 27]
[9, 61, 527]


[166, 8, 0]
[111, 186, 38]
[0, 56, 444]


[175, 6, 0]
[139, 231, 24]
[1, 85, 348]


[191, 6, 0]
[144, 264, 21]
[1, 96, 286]


[226, 12, 0]
[150, 246, 11]
[1, 109, 254]


[218, 13, 0]
[141, 212, 2]
[1, 152, 270]


[216, 15, 0]
[131, 171, 1]
[6, 187, 282]


[249, 14, 0]
[142, 221, 0]
[1, 259, 123]


[299, 10, 0]
[155, 540, 0]
[0, 5, 0]


[385, 5, 0]
[139, 480, 0]
[0, 0, 0]


[445, 4, 0]
[141, 419, 0]
[0, 0, 0]


[647, 8, 0]
[135, 219, 0]
[0, 0, 0]


[976, 1, 0]
[29, 3, 0]
[0, 0, 0]


[1009, 0, 0]
[0, 0, 0]
[0, 0, 0]


[1009, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 95.5223880597015, 4.477611940298508]
[0.0, 10.996563573883162, 89.00343642611683]


[0.0, 100.0, 0.0]
[0.0, 92.04545454545455, 7.954545454545454]
[0.0, 16.25, 83.75]


[68.70229007633587, 29.770992366412212, 1.5267175572519083]
[30.81081081081081, 48.108108108108105, 21.08108108108108]
[0.5772005772005773, 13.852813852813853, 85.56998556998558]


[91.94630872483222, 8.053691275167786, 0.0]
[34.60076045627377, 55.133079847908746, 10.26615969581749]
[1.5075376884422111, 10.217755443886098, 88.2747068676717]


[95.40229885057471, 4.597701149425287, 0.0]
[33.134328358208954, 55.52238805970149, 11.343283582089551]
[0.0, 11.2, 88.8]


[96.68508287292818, 3.314917127071823, 0.0]
[35.27918781725889, 58.629441624365484, 6.091370558375635]
[0.2304147465437788, 19.5852534562212, 80.18433179723503]


[96.95431472081218, 3.0456852791878175, 0.0]
[33.56643356643357, 61.53846153846154, 4.895104895104895]
[0.2610966057441253, 25.065274151436032, 74.67362924281984]


[94.95798319327731, 5.042016806722689, 0.0]
[36.85503685503685, 60.44226044226044, 2.7027027027027026]
[0.2747252747252747, 29.945054945054945, 69.78021978021978]


[94.37229437229438, 5.627705627705628, 0.0]
[39.71830985915493, 59.718309859154935, 0.5633802816901409]
[0.23640661938534277, 35.9338061465721, 63.82978723404255]


[93.5064935064935, 6.4935064935064934, 0.0]
[43.23432343234324, 56.43564356435644, 0.33003300330033003]
[1.263157894736842, 39.36842105263158, 59.36842105263158]


[94.67680608365019, 5.32319391634981, 0.0]
[39.11845730027548, 60.88154269972452, 0.0]
[0.2610966057441253, 67.62402088772846, 32.114882506527415]


[96.76375404530745, 3.236245954692557, 0.0]
[22.302158273381295, 77.6978417266187, 0.0]
[0.0, 100.0, 0.0]


[98.71794871794872, 1.2820512820512822, 0.0]
[22.45557350565428, 77.54442649434571, 0.0]
[0, 0, 0]


[99.10913140311804, 0.8908685968819599, 0.0]
[25.17857142857143, 74.82142857142857, 0.0]
[0, 0, 0]


[98.77862595419847, 1.2213740458015268, 0.0]
[38.13559322033898, 61.86440677966102, 0.0]
[0, 0, 0]


[99.89764585465711, 0.1023541453428864, 0.0]
[90.625, 9.375, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[6438, 203, 2]
[1705, 4053, 202]
[24, 1287, 4248]
[96.91404485925034, 3.0558482613277134, 0.030106879421947914]
[28.607382550335572, 68.00335570469798, 3.389261744966443]
[0.4317323259579061, 23.151645979492713, 76.41662169454938]
total accuracy
0.8115295672282788
-------------------folder , length of x_test, y_test-------------------------
126 890 890
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,4
9,5
10,7
11,17
12,42
13,47
14,127
15,193
16,217
17,114
18,112
each floor by number


[0, 37, 0]
[0, 240, 24]
[0, 53, 536]


[0, 37, 0]
[0, 151, 3]
[0, 50, 649]


[86, 18, 1]
[37, 66, 27]
[2, 21, 632]


[106, 18, 0]
[50, 86, 76]
[1, 21, 532]


[161, 12, 0]
[45, 133, 157]
[0, 18, 364]


[191, 25, 2]
[32, 258, 183]
[0, 23, 176]


[202, 17, 0]
[33, 406, 166]
[0, 7, 59]


[225, 19, 0]
[23, 484, 102]
[0, 10, 27]


[210, 20, 0]
[32, 419, 132]
[0, 1, 76]


[204, 23, 0]
[32, 423, 33]
[0, 9, 166]


[230, 52, 0]
[47, 418, 0]
[0, 25, 118]


[277, 59, 0]
[48, 387, 0]
[0, 41, 78]


[332, 91, 0]
[71, 325, 12]
[0, 15, 44]


[376, 109, 0]
[95, 308, 0]
[0, 2, 0]


[618, 0, 0]
[117, 155, 0]
[0, 0, 0]


[778, 3, 0]
[18, 91, 0]
[0, 0, 0]


[890, 0, 0]
[0, 0, 0]
[0, 0, 0]


[890, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 90.9090909090909, 9.09090909090909]
[0.0, 8.998302207130731, 91.00169779286928]


[0.0, 100.0, 0.0]
[0.0, 98.05194805194805, 1.948051948051948]
[0.0, 7.15307582260372, 92.84692417739628]


[81.9047619047619, 17.142857142857142, 0.9523809523809523]
[28.46153846153846, 50.76923076923077, 20.76923076923077]
[0.3053435114503817, 3.2061068702290076, 96.48854961832062]


[85.48387096774194, 14.516129032258064, 0.0]
[23.58490566037736, 40.56603773584906, 35.84905660377358]
[0.18050541516245489, 3.7906137184115525, 96.028880866426]


[93.0635838150289, 6.936416184971098, 0.0]
[13.432835820895521, 39.701492537313435, 46.865671641791046]
[0.0, 4.712041884816754, 95.28795811518324]


[87.61467889908256, 11.467889908256879, 0.9174311926605504]
[6.765327695560253, 54.54545454545454, 38.689217758985194]
[0.0, 11.557788944723619, 88.44221105527639]


[92.23744292237443, 7.762557077625571, 0.0]
[5.454545454545455, 67.10743801652893, 27.43801652892562]
[0.0, 10.606060606060606, 89.39393939393939]


[92.21311475409836, 7.786885245901639, 0.0]
[3.776683087027915, 79.47454844006569, 16.748768472906406]
[0.0, 27.027027027027028, 72.97297297297297]


[91.30434782608697, 8.695652173913045, 0.0]
[5.4888507718696395, 71.8696397941681, 22.641509433962263]
[0.0, 1.2987012987012987, 98.7012987012987]


[89.86784140969164, 10.13215859030837, 0.0]
[6.557377049180328, 86.68032786885246, 6.762295081967213]
[0.0, 5.142857142857143, 94.85714285714286]


[81.56028368794327, 18.43971631205674, 0.0]
[10.10752688172043, 89.89247311827957, 0.0]
[0.0, 17.482517482517483, 82.51748251748252]


[82.44047619047619, 17.55952380952381, 0.0]
[11.03448275862069, 88.96551724137932, 0.0]
[0.0, 34.45378151260504, 65.54621848739497]


[78.4869976359338, 21.513002364066192, 0.0]
[17.401960784313726, 79.65686274509804, 2.941176470588235]
[0.0, 25.423728813559322, 74.57627118644068]


[77.5257731958763, 22.474226804123713, 0.0]
[23.57320099255583, 76.42679900744416, 0.0]
[0.0, 100.0, 0.0]


[100.0, 0.0, 0.0]
[43.014705882352935, 56.98529411764706, 0.0]
[0, 0, 0]


[99.61587708066581, 0.38412291933418696, 0.0]
[16.513761467889907, 83.48623853211008, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[5776, 540, 3]
[680, 4350, 915]
[3, 296, 3457]
[91.4068681753442, 8.545655958221237, 0.04747586643456243]
[11.438183347350716, 73.17073170731707, 15.391084945332212]
[0.07987220447284345, 7.880724174653887, 92.03940362087327]
total accuracy
0.8478776529338327
-------------------folder , length of x_test, y_test-------------------------
127 1597 1597
number by successful floor
0,0
1,0
2,0
3,0
4,5
5,7
6,18
7,19
8,20
9,25
10,19
11,18
12,34
13,48
14,60
15,78
16,166
17,371
18,709
each floor by number


[0, 23, 0]
[0, 294, 16]
[0, 109, 1155]


[0, 23, 0]
[0, 208, 40]
[0, 89, 1237]


[120, 32, 2]
[34, 51, 48]
[15, 75, 1220]


[151, 19, 0]
[50, 103, 19]
[11, 79, 1165]


[185, 18, 0]
[53, 136, 41]
[21, 78, 1065]


[196, 23, 0]
[71, 217, 38]
[21, 77, 954]


[206, 13, 0]
[95, 311, 43]
[17, 73, 839]


[229, 29, 0]
[104, 407, 59]
[7, 50, 712]


[199, 18, 0]
[112, 440, 59]
[4, 51, 714]


[199, 18, 0]
[111, 466, 69]
[3, 28, 703]


[250, 32, 0]
[111, 627, 127]
[0, 20, 430]


[324, 44, 0]
[110, 1119, 0]
[0, 0, 0]


[463, 49, 0]
[74, 1011, 0]
[0, 0, 0]


[572, 61, 0]
[53, 911, 0]
[0, 0, 0]


[858, 57, 0]
[33, 649, 0]
[0, 0, 0]


[1453, 33, 0]
[18, 93, 0]
[0, 0, 0]


[1597, 0, 0]
[0, 0, 0]
[0, 0, 0]


[1597, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 94.83870967741935, 5.161290322580645]
[0.0, 8.623417721518987, 91.37658227848101]


[0.0, 100.0, 0.0]
[0.0, 83.87096774193549, 16.129032258064516]
[0.0, 6.711915535444947, 93.28808446455506]


[77.92207792207792, 20.77922077922078, 1.2987012987012987]
[25.563909774436087, 38.34586466165413, 36.090225563909776]
[1.1450381679389314, 5.7251908396946565, 93.12977099236642]


[88.82352941176471, 11.176470588235295, 0.0]
[29.069767441860467, 59.883720930232556, 11.046511627906977]
[0.8764940239043825, 6.294820717131474, 92.82868525896414]


[91.13300492610838, 8.866995073891626, 0.0]
[23.043478260869566, 59.1304347826087, 17.826086956521742]
[1.804123711340206, 6.701030927835051, 91.49484536082474]


[89.49771689497717, 10.502283105022832, 0.0]
[21.77914110429448, 66.56441717791411, 11.656441717791411]
[1.9961977186311788, 7.319391634980989, 90.68441064638783]


[94.06392694063928, 5.936073059360731, 0.0]
[21.15812917594655, 69.26503340757237, 9.57683741648107]
[1.829924650161464, 7.857911733046287, 90.31216361679226]


[88.75968992248062, 11.24031007751938, 0.0]
[18.24561403508772, 71.40350877192982, 10.350877192982455]
[0.9102730819245773, 6.501950585175552, 92.58777633289986]


[91.70506912442397, 8.294930875576037, 0.0]
[18.330605564648117, 72.01309328968902, 9.656301145662848]
[0.5201560468140441, 6.631989596879063, 92.84785435630688]


[91.70506912442397, 8.294930875576037, 0.0]
[17.18266253869969, 72.13622291021672, 10.681114551083592]
[0.4087193460490463, 3.8147138964577656, 95.77656675749319]


[88.65248226950355, 11.347517730496454, 0.0]
[12.83236994219653, 72.48554913294798, 14.68208092485549]
[0.0, 4.444444444444445, 95.55555555555556]


[88.04347826086956, 11.956521739130434, 0.0]
[8.950366151342555, 91.04963384865745, 0.0]
[0, 0, 0]


[90.4296875, 9.5703125, 0.0]
[6.820276497695853, 93.17972350230416, 0.0]
[0, 0, 0]


[90.36334913112164, 9.636650868878357, 0.0]
[5.4979253112033195, 94.50207468879667, 0.0]
[0, 0, 0]


[93.77049180327869, 6.229508196721311, 0.0]
[4.838709677419355, 95.16129032258064, 0.0]
[0, 0, 0]


[97.7792732166891, 2.220726783310902, 0.0]
[16.216216216216214, 83.78378378378378, 0.0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
